departamento_id,departamento_nombre,provincia_id,provincia_nombre,año,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos
42,GENERAL SAN MART?N,6,Córdoba,2020,47,3,2,5 a 9,7178
42,GENERAL SAN MART?N,6,Córdoba,2020,47,3,4,25 a 34,12152
70,LA PAZ,8,Entre Ríos,2020,28,3,1,12 a 23 m,4700
70,LA PAZ,8,Entre Ríos,2020,28,3,2,2 a 4,11102
70,LA PAZ,8,Entre Ríos,2020,28,3,4,35 a 44,13842
28,CAPITAL,14,Misiones,2021,9,3,1,6 a 11 m,698
28,CAPITAL,14,Misiones,2021,9,3,2,2 a 4,1988
28,CAPITAL,14,Misiones,2021,9,3,3,15 a 19,1670
14,BERMEJO,4,Chaco,2020,5,3,2,2 a 4,14808
14,BERMEJO,4,Chaco,2020,5,3,4,45 a 64,14606
182,UNI?N,6,Córdoba,2020,6,3,1,< 6 m,2914
182,UNI?N,6,Córdoba,2020,6,3,3,15 a 19,4836
42,JUAN BAUTISTA ALBERDI,24,Tucumán,2021,8,3,3,20 a 24,372
42,JUAN BAUTISTA ALBERDI,24,Tucumán,2021,8,3,4,25 a 34,704
35,CURUZ? CUATI?,7,Corrientes,2021,10,3,1,12 a 23 m,586
35,CURUZ? CUATI?,7,Corrientes,2021,10,3,2,5 a 9,1298
35,CURUZ? CUATI?,7,Corrientes,2021,10,3,3,15 a 19,604
35,CURUZ? CUATI?,7,Corrientes,2021,10,3,4,25 a 34,1048
35,CURUZ? CUATI?,7,Corrientes,2021,10,3,5,>= a 75,232
105,SARMIENTO,18,San Juan,2020,4,2,1,12 a 23 m,2724
14,USHUAIA,23,Tierra del Fuego,2020,8,3,2,5 a 9,178
14,USHUAIA,23,Tierra del Fuego,2020,8,3,4,25 a 34,534
42,GOBERNADOR DUPUY,19,San Luis,2020,7,2,1,6 a 11 m,910
42,GOBERNADOR DUPUY,19,San Luis,2020,7,3,1,12 a 23 m,338
42,GOBERNADOR DUPUY,19,San Luis,2020,7,3,4,25 a 34,2304
42,GOBERNADOR DUPUY,19,San Luis,2020,7,3,5,>= a 75,272
21,DR. MANUEL BELGRANO,10,Jujuy,2020,7,2,1,12 a 23 m,2016
63,LIBERTADOR GENERAL SAN MART?N,19,San Luis,2020,4,1,4,45 a 64,1094
7,R?O GRANDE,23,Tierra del Fuego,2020,47,1,5,65 a 74,70
14,A?ELO,15,Neuquén,2020,53,3,2,2 a 4,358
14,A?ELO,15,Neuquén,2020,53,3,4,25 a 34,3576
70,LA PAZ,8,Entre Ríos,2021,4,3,3,15 a 19,520
70,LA PAZ,8,Entre Ríos,2021,5,3,2,5 a 9,1006
14,AVELLANEDA,16,Río Negro,2021,5,3,3,20 a 24,950
14,AVELLANEDA,16,Río Negro,2021,5,3,4,25 a 34,2444
882,Z?RATE,1,Buenos Aires,2021,10,3,1,12 a 23 m,2892
882,Z?RATE,1,Buenos Aires,2021,10,3,4,45 a 64,6858
882,Z?RATE,1,Buenos Aires,2021,10,3,5,65 a 74,1302
14,BELGRANO,19,San Luis,2021,9,3,1,12 a 23 m,70
63,RAM?N LISTA,9,Formosa,2020,2,3,2,10 a 14,10990
63,RAM?N LISTA,9,Formosa,2020,2,3,3,15 a 19,3908
63,RAM?N LISTA,9,Formosa,2020,2,3,4,25 a 34,6178
63,RAM?N LISTA,9,Formosa,2020,2,2,1,< 6 m,1960
21,CAPITAL,7,Corrientes,2020,6,3,3,20 a 24,7984
392,GENERAL VILLEGAS,1,Buenos Aires,2020,2,3,2,2 a 4,39784
392,GENERAL VILLEGAS,1,Buenos Aires,2020,2,3,4,25 a 34,53092
14,ALBERDI,22,Santiago del Estero,2020,6,1,4,45 a 64,952
14,ALBERDI,22,Santiago del Estero,2020,6,3,2,5 a 9,1956
28,CAPITAL,17,Salta,2020,7,2,1,12 a 23 m,6098
28,CAPITAL,17,Salta,2020,7,3,4,35 a 44,9780
14,AVELLANEDA,16,Río Negro,2020,7,1,4,45 a 64,1716
760,SAN MIGUEL,1,Buenos Aires,2020,6,2,1,12 a 23 m,15950
91,SAN MART?N,18,San Juan,2020,53,3,1,12 a 23 m,1296
91,SAN MART?N,18,San Juan,2020,53,3,2,2 a 4,3390
28,ALMIRANTE BROWN,1,Buenos Aires,2021,1,3,2,10 a 14,6700
140,SAN FERNANDO,4,Chaco,2020,50,3,1,12 a 23 m,7412
147,SAN MART?N,7,Corrientes,2020,51,3,2,2 a 4,14360
147,SAN MART?N,7,Corrientes,2020,51,3,4,25 a 34,12954
147,SAN MART?N,7,Corrientes,2020,51,3,5,65 a 74,3124
5,COMUNA 5,2,CABA,2020,52,3,3,15 a 19,1810
5,COMUNA 5,2,CABA,2020,52,3,4,35 a 44,8120
5,COMUNA 5,2,CABA,2020,52,1,4,35 a 44,882
441,LA PLATA,1,Buenos Aires,2020,52,3,3,15 a 19,21542
441,LA PLATA,1,Buenos Aires,2020,52,1,4,45 a 64,5700
28,CAPITAL,14,Misiones,2020,6,3,1,12 a 23 m,7296
28,CAPITAL,14,Misiones,2020,6,3,2,2 a 4,17726
392,GENERAL VILLEGAS,1,Buenos Aires,2020,49,3,5,>= a 75,11340
28,CHACABUCO,4,Chaco,2020,52,3,3,15 a 19,8830
14,AVELLANEDA,16,Río Negro,2021,4,3,2,5 a 9,1006
14,GENERAL ALVEAR,13,Mendoza,2021,3,3,4,45 a 64,998
14,CAPITAL,12,La Rioja,2021,5,3,1,< 6 m,620
14,CAPITAL,12,La Rioja,2021,5,3,2,2 a 4,1754
70,MONTEROS,24,Tucumán,2020,7,3,2,10 a 14,7252
70,MONTEROS,24,Tucumán,2020,7,3,4,25 a 34,9782
70,MONTEROS,24,Tucumán,2020,7,3,5,65 a 74,1136
42,CHILECITO,12,La Rioja,2020,7,2,1,< 6 m,1716
42,CHILECITO,12,La Rioja,2020,7,1,4,25 a 34,942
42,CHILECITO,12,La Rioja,2020,7,1,5,>= a 75,458
42,CHILECITO,12,La Rioja,2020,7,3,1,12 a 23 m,4362
63,SAN PEDRO,10,Jujuy,2020,4,1,3,20 a 24,100
63,SAN PEDRO,10,Jujuy,2020,4,1,5,65 a 74,640
63,SAN PEDRO,10,Jujuy,2020,4,3,1,6 a 11 m,5072
63,SAN PEDRO,10,Jujuy,2020,4,3,2,5 a 9,12092
63,SAN PEDRO,10,Jujuy,2020,4,3,3,20 a 24,6218
63,SAN PEDRO,10,Jujuy,2020,4,3,4,25 a 34,16412
28,CAPITAL,14,Misiones,2020,53,2,1,6 a 11 m,1494
42,GENERAL ROCA,16,Río Negro,2020,51,3,2,10 a 14,6540
42,GENERAL ROCA,16,Río Negro,2020,51,3,3,15 a 19,6994
28,LAGO ARGENTINO,20,Santa Cruz,2020,51,3,1,< 6 m,528
28,LAGO ARGENTINO,20,Santa Cruz,2020,51,3,2,2 a 4,1376
28,LAGO ARGENTINO,20,Santa Cruz,2020,51,3,3,15 a 19,920
28,LAGO ARGENTINO,20,Santa Cruz,2020,51,3,4,25 a 34,3822
49,AZUL,1,Buenos Aires,2021,5,1,3,20 a 24,100
49,AZUL,1,Buenos Aires,2021,5,1,5,65 a 74,460
84,CAPITAL,24,Tucumán,2021,10,3,2,5 a 9,1028
147,SANTA MAR?A,6,Córdoba,2021,4,3,2,10 a 14,906
147,SANTA MAR?A,6,Córdoba,2021,4,3,3,15 a 19,952
147,SANTA MAR?A,6,Córdoba,2021,4,3,4,25 a 34,2778
147,SANTA MAR?A,6,Córdoba,2021,4,1,4,25 a 34,298
147,SANTA MAR?A,6,Córdoba,2021,4,1,5,65 a 74,86
91,25 DE MAYO,16,Río Negro,2020,4,3,1,6 a 11 m,1856
91,25 DE MAYO,16,Río Negro,2020,4,3,4,25 a 34,17134
91,25 DE MAYO,16,Río Negro,2020,4,3,5,65 a 74,4030
42,CHILECITO,12,La Rioja,2020,7,3,2,2 a 4,10884
42,CHILECITO,12,La Rioja,2020,7,3,3,15 a 19,4782
42,CHILECITO,12,La Rioja,2020,7,3,4,25 a 34,10250
42,CHILECITO,12,La Rioja,2020,7,3,5,65 a 74,2038
21,CASTELLANOS,21,Santa Fe,2020,10,2,1,6 a 11 m,1372
105,SAN RAFAEL,13,Mendoza,2021,7,3,2,5 a 9,372
63,PICHI MAHUIDA,16,Río Negro,2020,8,2,1,< 6 m,2090
21,DR. MANUEL BELGRANO,10,Jujuy,2020,5,1,4,35 a 44,836
21,DR. MANUEL BELGRANO,10,Jujuy,2020,5,3,5,65 a 74,2486
91,SAN CARLOS,13,Mendoza,2020,1,1,5,65 a 74,1236
91,SAN CARLOS,13,Mendoza,2020,1,3,2,5 a 9,2294
91,SAN CARLOS,13,Mendoza,2020,1,3,4,45 a 64,8628
35,JUN?N,13,Mendoza,2020,51,3,1,12 a 23 m,866
35,JUN?N,13,Mendoza,2020,51,3,3,20 a 24,2678
609,PEHUAJ?,1,Buenos Aires,2021,6,3,3,15 a 19,3172
28,CAPITAL,14,Misiones,2021,9,3,4,25 a 34,3726
28,CAPITAL,14,Misiones,2021,9,3,5,65 a 74,736
49,LAS HERAS,13,Mendoza,2020,44,3,5,65 a 74,928
49,LAS HERAS,13,Mendoza,2020,44,1,4,45 a 64,2310
140,SAN FERNANDO,4,Chaco,2020,7,1,1,12 a 23 m,546
140,SAN FERNANDO,4,Chaco,2020,7,1,2,10 a 14,1158
28,CAPITAL,17,Salta,2020,52,3,3,20 a 24,5436
28,LAGO ARGENTINO,20,Santa Cruz,2021,1,3,1,< 6 m,42
28,LAGO ARGENTINO,20,Santa Cruz,2021,1,3,2,2 a 4,176
28,LAGO ARGENTINO,20,Santa Cruz,2021,1,3,3,15 a 19,140
28,LAGO ARGENTINO,20,Santa Cruz,2021,1,3,4,25 a 34,474
28,LAGO ARGENTINO,20,Santa Cruz,2021,1,3,5,65 a 74,64
28,LAGO ARGENTINO,20,Santa Cruz,2021,1,1,1,6 a 11 m,10
14,USHUAIA,23,Tierra del Fuego,2020,7,1,2,2 a 4,110
14,BERMEJO,4,Chaco,2020,7,3,5,65 a 74,2512
49,CAPITAL,3,Catamarca,2020,2,3,1,12 a 23 m,4264
49,CAPITAL,3,Catamarca,2020,2,3,2,2 a 4,12520
49,CAPITAL,3,Catamarca,2020,2,3,4,35 a 44,9538
28,LAGO ARGENTINO,20,Santa Cruz,2021,1,1,2,2 a 4,34
84,LIBERTADOR GENERAL SAN MART?N,4,Chaco,2020,48,1,5,>= a 75,356
21,LAISHI,9,Formosa,2020,42,3,1,6 a 11 m,5760
84,LIBERTADOR GENERAL SAN MART?N,4,Chaco,2020,45,2,1,6 a 11 m,4740
14,USHUAIA,23,Tierra del Fuego,2020,7,3,3,15 a 19,146
14,USHUAIA,23,Tierra del Fuego,2020,7,3,5,65 a 74,48
56,LA CAPITAL,19,San Luis,2020,6,3,2,5 a 9,1064
49,CAPITAL,22,Santiago del Estero,2020,1,3,3,15 a 19,1224
